name,email,Question 3,Question 4,Question 1_opAmerican Indian or Alaska Native,Question 1_opAsian,Question 1_opBlack or African American,Question 1_opHispanic or Latino,Question 1_opNative Hawaiian or other Pacific Islander,Question 1_opWhite,Question 1_opOther,Question 2_opEnglish,Question 2_opMath,Question 2_opPhysics,Question 2_opChemistry,Question 2_opBiology,Question 2_opGeography,Question 2_opHistory,Question 2_opEconomics,Question 2_opBusiness Studies,Question 2_opMedia,Question 2_opComputer Science,Question 2_opArt,Question 2_opMusic,Question 2_opDrama,Question 5_opYes,Question 5_opNo,Question 6_opStay at home,Question 6_opGo out with friends,Question 6_opSpend time with family,Question 7_opMath Extended,Question 7_opMath Standard,Question 7_opPhysics,Question 7_opChemistry,Question 7_opBiology,Question 7_opEconomics,Question 7_opHistory,Question 7_opGeography,Question 7_opBusiness Studies,Question 7_opDigital Design,Question 7_opMedia Studies,Question 7_opMusic,Question 7_opArt,Question 7_opPHE,Question 7_opProduct Design,Question 7_opFrench,Question 7_opSpanish,Question 7_opIslamic,Question 8_opPolitics/Social Issues,Question 8_opSports,Question 8_opArt,Question 8_opMusic,Question 8_opTechnology,Question 8_opFood,Question 8_opGaming,Question 8_opCulture,Question 8_opTravel,Question 8_opScience,Question 9_opCommunity Service Club,Question 9_opTechnology Club,Question 9_opScience Club,Question 9_opArt Club,Question 9_opBusiness Club,Question 9_opEco Club,Question 9_opModel United Nations,Question 9_opDebate,Question 9_opTennis Team,Question 9_opSoccer Team,Question 9_opVolleyball Team,Question 9_opAthletics Team,Question 9_opBadminton Team,Question 9_opSwimming Team,Question 9_opBasketball Team,Question 9_opCricket Team,Question 9_opHandball Team
Dylan Brown,dylanbrown@gmail.com,2,3,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1
Bruno Cutler,brunocutler@gmail.com,2,5,0,0,0,0,0,1.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0
John Stamos,johnstamos@gmail.com,3,4,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.5,0,0,1.5,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
Aria Tisch,ariatisch@gmail.com,4,5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,0,0,1.5,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1
Dudley Malfoy,dudleymalfoy@gmail.com,5,4,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1.5,0,1.5,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1
Lily Sky,lilysky@gmail.com,1,5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,1.5,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0
Amber Hanks,amberhanks@gmail.com,3,4,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1.5,0,1.5,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1
Benedict Cumberbatch,benedictcumberbatch@gmail.com,2,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,1.5,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Chris Evans,chrisevans@gmail.com,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1.5,0,1.5,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0
Henley Evans,henleyevans@gmail.com,4,4,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1
